point_location_CPX,point_location_OPX,point_number_OPX,point_number_CPX,Nb_ions_Mg_CPX,Nb_ions_Mg_OPX,Nb_ions_Fe_CPX,Nb_ions_Fe_OPX,Nb_ions_Ca_CPX,Nb_ions_Ca_OPX,Nb_ions_Na_CPX,Nb_ions_Na_OPX
rim,rim,1,1,0.846,1.638,0.128,0.222,0.743,0.038,0.094,0.009
rim,rim,2,2,0.844,1.62,0.127,0.226,0.741,0.042,0.094,0.009
rim,rim,3,3,0.845,1.636,0.127,0.225,0.737,0.038,0.101,0.009
mid,mid,4,4,0.84,1.623,0.136,0.231,0.746,0.039,0.095,0.008
mid ,mid ,5,5,0.845,1.596,0.135,0.249,0.74,0.043,0.094,0.008
mid,mid,6,6,0.83,1.593,0.142,0.249,0.74,0.043,0.094,0.009
core,core,7,7,0.812,1.586,0.148,0.257,0.751,0.043,0.096,0.008
core,core,8,8,0.822,1.592,0.142,0.258,0.748,0.039,0.095,0.007
core,core,9,9,0.844,1.6,0.137,0.255,0.821,0.043,0.047,0.008
mid,mid,10,10,0.789,1.601,0.151,0.244,0.752,0.042,0.094,0.008
mid,mid,11,11,0.887,1.588,0.108,0.264,0.83,0.041,0.037,0.008
rim,rim,12,12,0.792,1.585,0.15,0.259,0.749,0.04,0.093,0.008
rim,rim,13,13,0.797,1.591,0.148,0.262,0.751,0.038,0.095,0.007
rim,rim,14,14,0.802,1.579,0.149,0.264,0.747,0.044,0.095,0.008
rim,rim,15,15,0.831,1.575,0.151,0.267,0.735,0.044,0.096,0.009
